Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm]
B07_2022_035,53888,36.96659,42.61948,0.0,0.1,0.05,2022-09-25T00:00,7.12,33.72,0.10,0.05,5.24,1.19,219.0,3.51,5.75,3.12,6.28,18.65,6.7,16.9,25.0,48.6,13.2,19.3,32.5,81.1,99.75,0.0900
B07_2022_038,53902,36.89680,42.50921,0.0,0.1,0.05,2022-09-04T00:00,7.24,28.25,0.12,0.07,4.96,1.57,718.0,0.86,0.79,0.42,2.18,4.25,16.5,27.9,20.2,64.6,12.8,18.2,31.0,95.6,99.85,0.0300
B07_2022_041,53915,36.99097,42.61062,0.0,0.1,0.05,2022-08-27T00:00,7.08,24.38,0.16,<0.05,4.59,1.66,300.0,2.87,2.30,1.25,3.13,9.56,21.3,17.7,10.8,49.8,15.4,24.8,40.2,90.0,99.56,0.0600
B07_2022_042,53919,36.98266,42.77406,0.0,0.1,0.05,2022-09-13T00:00,7.07,19.87,0.17,<0.05,4.34,1.96,330.0,5.08,2.50,1.21,3.03,11.82,9.4,19.1,18.0,46.5,16.4,24.5,40.9,87.4,99.22,0.0900
B07_2022_046,53938,36.86771,42.72844,0.0,0.1,0.05,2022-09-05T00:00,7.05,30.63,0.11,<0.05,4.69,1.01,447.0,2.91,1.83,0.91,2.28,7.94,17.4,21.7,14.6,53.7,17.2,21.2,38.4,92.1,100.04,0.0600
B07_2022_047,53943,37.01590,42.54859,0.0,0.1,0.05,2022-08-28T00:00,7.20,38.01,0.07,<0.05,5.54,0.98,265.0,5.17,6.95,3.62,5.07,20.82,5.3,16.4,25.9,47.6,11.8,19.4,31.2,78.8,99.62,0.1100
B07_2022_050,53954,36.96272,42.80097,0.0,0.1,0.05,2022-09-18T00:00,7.19,49.97,0.26,<0.05,9.29,3.29,426.0,14.40,7.55,6.03,8.64,36.61,25.2,17.2,8.1,50.5,6.1,6.6,12.7,63.2,99.81,0.2500
B07_2022_050,53955,36.96272,42.80097,0.1,0.3,0.20,2022-09-18T00:00,7.48,53.05,0.12,<0.05,8.43,2.07,291.0,8.49,8.60,5.57,8.09,30.75,8.8,24.9,15.6,49.3,6.5,13.0,19.5,68.8,99.55,0.1700
B07_2022_051,53959,36.93003,42.65000,0.0,0.1,0.05,2022-09-21T00:00,7.25,9.92,0.15,<0.05,2.99,1.80,246.0,6.86,22.28,14.05,16.60,59.79,9.4,8.6,6.8,24.8,5.9,9.1,15.0,39.8,99.59,0.2300
B07_2022_051,53961,36.93003,42.65000,0.3,0.5,0.40,2022-09-21T00:00,7.31,31.72,0.04,<0.05,4.08,0.27,165.6,1.05,8.12,12.17,23.89,45.24,9.8,11.5,11.0,32.3,8.6,14.0,22.6,54.9,100.14,0.1000
B07_2022_055,53974,36.97075,42.48229,0.0,0.1,0.05,2022-09-12T00:00,6.93,13.71,0.15,<0.05,3.02,1.37,289.0,6.71,5.00,2.06,3.37,17.13,7.3,13.8,12.7,33.8,11.8,37.0,48.8,82.6,99.73,0.1200
B07_2022_055,53977,36.97075,42.48229,0.5,0.7,0.60,2022-09-12T00:00,6.96,18.27,0.09,<0.05,3.11,0.91,237.0,3.85,4.87,2.06,3.08,13.87,10.8,22.3,7.7,40.8,15.5,29.8,45.3,86.1,99.97,0.0900
B07_2022_061,54004,36.94748,42.73796,0.0,0.1,0.05,2022-08-21T00:00,7.15,32.18,0.04,<0.05,4.85,0.99,249.0,2.66,2.52,0.97,1.54,7.68,4.7,15.4,24.5,44.6,15.8,32.3,48.1,92.7,100.38,0.0500
B07_2022_061,54005,36.94748,42.73796,0.1,0.3,0.20,2022-08-21T00:00,7.27,36.78,<0.03,<0.05,4.84,0.42,295.0,2.41,2.11,0.95,1.42,6.89,5.0,17.2,31.8,54.0,18.7,20.5,39.2,93.2,100.09,0.0500
B07_2022_061,54007,36.94748,42.73796,0.5,0.7,0.60,2022-08-21T00:00,7.28,37.07,0.04,<0.05,5.07,0.62,,4.31,2.24,0.79,1.28,8.62,4.7,16.4,24.6,45.7,14.4,31.4,45.8,91.5,100.12,0.0700
B07_2022_062,54009,37.06686,42.46556,0.0,0.1,0.05,2022-08-29T00:00,7.13,28.89,0.06,<0.05,4.20,0.73,175.4,1.34,4.93,11.90,28.99,47.16,24.0,9.9,5.3,39.2,6.2,7.5,13.7,52.9,100.06,0.1000
B07_2022_072,54052,36.89846,42.65755,0.3,0.5,0.40,2022-09-11T00:00,7.40,57.10,0.04,<0.05,7.60,0.75,171.1,2.34,2.68,2.00,4.34,11.36,3.9,19.2,39.0,62.1,9.8,16.4,26.2,88.3,99.66,0.0600
B07_2022_075,54066,36.86134,42.68020,0.5,0.7,0.60,2022-09-20T00:00,7.31,28.89,0.03,<0.05,4.09,0.62,,0.34,0.85,1.25,12.52,14.95,13.8,19.0,15.1,47.9,10.9,25.6,36.5,84.4,99.35,0.0300
B07_2022_080,54080,36.98183,42.43077,0.1,0.3,0.20,2022-09-17T00:00,7.20,16.00,0.08,<0.05,2.54,0.62,194.9,0.09,0.74,4.41,30.81,36.04,30.4,12.4,6.3,49.1,5.4,9.7,15.1,64.2,100.24,0.0500
B07_2022_083,54089,36.95468,42.47737,0.0,0.1,0.05,2022-09-12T00:00,7.07,3.61,0.26,<0.05,2.73,2.29,325.0,5.75,13.21,7.65,10.15,36.76,11.7,14.5,11.5,37.7,11.1,14.5,25.6,63.3,100.06,0.1600
B07_2022_086,54098,36.83946,42.63359,0.0,0.1,0.05,2022-09-10T00:00,7.17,27.39,0.11,<0.05,4.60,1.31,287.0,1.97,1.87,0.92,3.36,8.11,8.9,19.3,26.0,54.2,16.8,20.9,37.7,91.9,100.01,0.0500
B07_2022_089,54108,36.94444,42.59552,0.0,0.1,0.05,2022-09-25T00:00,7.20,24.07,0.07,<0.05,3.77,0.88,233.0,1.14,1.24,1.87,11.53,15.78,13.9,17.9,18.2,50.0,14.8,19.1,33.9,83.9,99.68,0.0400
B07_2022_092,54118,37.00565,42.58502,0.0,0.1,0.05,2022-08-27T00:00,7.05,29.97,0.08,<0.05,4.25,0.65,291.0,0.66,1.28,0.72,1.48,4.14,11.1,17.1,23.4,51.6,19.2,24.9,44.1,95.7,99.84,0.0200
B07_2022_097,54135,36.82644,42.70973,0.0,0.1,0.05,2022-09-20T00:00,7.26,36.50,0.05,<0.05,4.72,0.34,274.0,0.75,1.31,1.18,4.38,7.62,6.3,15.5,26.9,48.7,17.4,26.3,43.7,92.4,100.03,0.0300
B07_2022_101,54150,36.85442,42.62112,0.0,0.1,0.05,2022-09-11T00:00,7.15,27.10,0.13,<0.05,4.33,1.08,289.0,8.10,4.85,3.77,14.93,31.65,17.9,15.3,12.0,45.2,9.9,13.8,23.7,68.9,100.55,0.1600
B07_2022_104,54156,36.96909,42.71892,0.1,0.3,0.20,2022-08-21T00:00,7.03,28.87,0.07,<0.05,3.96,0.49,334.0,1.74,1.65,0.60,1.17,5.15,12.9,17.6,26.0,56.5,19.9,18.3,38.2,94.7,99.85,0.0400
B07_2023_002,55794,37.19502,42.66293,0.0,0.1,0.05,2023-10-03T00:00,7.00,12.77,0.12,<0.05,2.51,0.98,374.0,2.93,3.36,1.18,1.54,9.00,3.3,12.8,17.5,33.6,16.6,40.8,57.4,91.0,100.00,0.0600
B07_2023_002,55796,37.19502,42.66293,0.3,0.5,0.40,2023-10-03T00:00,7.10,11.33,0.07,<0.05,1.89,0.54,259.0,4.51,3.56,2.25,2.05,12.40,1.2,16.3,9.8,27.3,12.7,47.1,59.8,87.1,99.50,0.0830
B07_2023_005,55804,37.07966,42.97761,0.0,0.1,0.05,2023-09-28T00:00,7.60,34.56,0.04,<0.05,5.03,0.89,129.9,2.10,24.35,14.90,17.18,58.50,12.9,12.3,7.4,32.6,5.9,2.6,8.5,41.1,99.60,0.1765
B07_2023_005,55808,37.07966,42.97761,0.7,1.0,0.85,2023-09-28T00:00,7.80,35.33,<0.03,<0.05,4.88,0.64,144.1,0.13,19.40,16.84,8.92,45.30,6.1,15.2,14.4,35.7,7.9,10.8,18.7,54.4,99.70,0.1232
B07_2023_007,55814,37.14982,42.78035,0.0,0.1,0.05,2023-10-03T00:00,7.40,27.47,0.18,<0.05,5.19,1.90,236.0,4.73,24.17,13.52,12.49,54.90,11.2,11.8,8.0,31.0,7.4,6.7,14.1,45.1,100.00,0.2028
B07_2023_008,55817,37.05647,42.91215,0.3,0.5,0.40,2023-09-28T00:00,7.40,33.21,0.11,<0.05,5.91,1.93,234.0,3.28,7.25,5.71,5.43,21.70,6.0,16.9,16.9,39.8,9.6,28.6,38.2,78.0,99.70,0.0932
B07_2023_008,55818,37.05647,42.91215,0.5,0.7,0.60,2023-09-28T00:00,7.50,43.53,0.08,<0.05,6.82,1.59,224.0,4.71,21.36,8.35,9.00,43.40,7.9,12.3,10.6,30.8,7.1,18.6,25.7,56.5,99.90,0.1781
