Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm],Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr],Salinity Class
B07_2022_028,53854,37.03252,42.56861,0.0,0.1,0.05,2022-09-03T00:00,7.03,30.44,0.07,<0.05,4.13,0.47,308.0,1.43,1.22,0.49,1.14,4.27,3.7,13.8,26.3,43.8,19.0,32.5,51.5,95.3,99.57,0.03,1.18949,0.458687372,0.25,0.20868737199999998,0.3361040275101862,16.67576,0.1,Non-saline
B07_2022_030,53863,36.79459,42.63786,0.0,0.1,0.05,2022-09-19T00:00,7.32,33.13,0.04,<0.05,4.1,0.13,361.0,5.32,4.87,2.22,4.02,16.43,7.5,14.1,19.7,41.3,12.7,29.6,42.3,83.6,100.03,0.1,1.3212300000000001,0.38372118800000005,0.24104109599999998,0.14268009200000006,0.5386091371022731,12.93714,0.1942080378250591,Non-saline
B07_2022_030,53867,36.79459,42.63786,0.7,1.0,0.85,2022-09-19T00:00,7.34,34.17,0.03,<0.05,4.49,0.39,213.0,3.72,5.27,1.85,2.53,13.38,5.9,14.8,23.7,44.4,14.0,27.6,41.6,86.0,99.38,0.08,1.25607,0.400703564,0.24462328800000002,0.156080276,0.5002115513245194,14.840019999999999,0.1608173076923077,Non-saline
B07_2022_031,53868,36.87685,42.68938,0.0,0.1,0.05,2022-09-21T00:00,7.13,20.65,0.13,<0.05,4.11,1.63,400.0,2.75,2.83,1.41,6.36,13.36,5.7,13.6,18.6,37.9,15.2,33.4,48.6,86.5,99.86,0.06,1.0,0.489862588,0.25,0.239862588,0.4509347628320681,25.42734,0.13744855967078187,Non-saline
B07_2022_031,53870,36.87685,42.68938,0.3,0.5,0.4,2022-09-21T00:00,7.33,20.96,0.05,<0.05,2.67,0.15,105.6,0.24,0.4,0.37,1.7,2.72,4.2,12.1,17.7,34.0,15.1,48.2,63.3,97.3,100.02,0.01,1.21937,0.48777213999999997,0.25,0.23777213999999997,0.27061615341902534,19.0776,0.1,Non-saline
B07_2022_031,53871,36.87685,42.68938,0.5,0.7,0.6,2022-09-21T00:00,7.34,20.91,0.04,<0.05,2.78,0.27,857.0,0.11,0.44,0.34,1.36,2.24,3.1,11.2,17.5,31.8,13.7,52.0,65.7,97.5,99.74,0.01,1.17677,0.5,0.25,0.25,0.2577707983557962,20.75346,0.1,Non-saline
B07_2022_031,53872,36.87685,42.68938,0.7,1.0,0.85,2022-09-21T00:00,7.35,19.53,0.04,<0.05,2.83,0.48,932.0,0.28,0.45,0.35,1.22,2.31,3.3,12.6,18.0,33.9,14.0,49.8,63.8,97.7,100.01,0.01,1.1302800000000002,0.5,0.25,0.25,0.265603452880967,21.906839999999995,0.1,Non-saline
B07_2022_033,53878,37.01257,42.50428,0.0,0.1,0.05,2022-09-17T00:00,7.28,40.78,0.16,<0.05,6.96,2.07,248.0,10.9,14.19,6.12,9.08,40.29,10.4,13.1,13.9,37.4,8.2,13.7,21.9,59.3,99.59,0.23,1.0,0.36256353199999997,0.191885144,0.17067838799999996,1.4065452765445583,22.14726,0.9198630136986302,Non-saline
B07_2022_033,53881,37.01257,42.50428,0.5,0.7,0.6,2022-09-17T00:00,7.52,50.09,0.08,<0.05,8.04,2.03,,,,,,,,,,,,,,,,,1.0,0.45476898649056596,0.25,0.20476898649056596,0.6361177149388647,26.753221132075467,0.26518446601941753,
B07_2022_034,53884,36.97601,42.52069,0.1,0.3,0.2,2022-09-24T00:00,7.25,22.69,0.11,<0.05,3.69,0.97,355.0,0.68,3.43,1.94,2.15,8.2,2.8,11.2,22.0,36.0,13.5,42.1,55.6,91.6,99.8,0.03,1.03913,0.49136117199999996,0.25,0.24136117199999996,0.35269046334446075,22.815260000000002,0.1,Non-saline
B07_2022_035,53888,36.96659,42.61948,0.0,0.1,0.05,2022-09-25T00:00,7.12,33.72,0.10,0.05,5.24,1.19,219.0,3.51,5.75,3.12,6.28,18.65,6.7,16.9,25.0,48.6,13.2,19.3,32.5,81.1,99.75,0.09,1.08753,0.39864164399999996,0.220914648,0.17772699599999997,0.6616582266541878,17.74702,0.2869230769230769,Non-saline
B07_2022_038,53902,36.8968,42.50921,0.0,0.1,0.05,2022-09-04T00:00,7.24,28.25,0.12,0.07,4.96,1.57,718.0,0.86,0.79,0.42,2.18,4.25,16.5,27.9,20.2,64.6,12.8,18.2,31.0,95.6,99.85,0.03,1.0,0.441629732,0.22376554399999998,0.21786418800000001,0.4543951807054558,20.67406,0.1,Non-saline
B07_2022_041,53915,36.99097,42.61062,0.0,0.1,0.05,2022-08-27T00:00,7.08,24.38,0.16,<0.05,4.59,1.66,300.0,2.87,2.3,1.25,3.13,9.56,21.3,17.7,10.8,49.8,15.4,24.8,40.2,90.0,99.56,0.06,1.0,0.468769016,0.25,0.21876901599999998,0.45948751627286455,23.24988,0.11890547263681592,Non-saline
B07_2022_042,53919,36.98266,42.77406,0.0,0.1,0.05,2022-09-13T00:00,7.07,19.87,0.17,<0.05,4.34,1.96,330.0,5.08,2.5,1.21,3.03,11.82,9.4,19.1,18.0,46.5,16.4,24.5,40.9,87.4,99.22,0.09,1.0,0.482233296,0.25,0.23223329599999998,0.4840761842787602,25.71698,0.14449877750611248,Non-saline
B07_2022_046,53938,36.86771,42.72844,0.0,0.1,0.05,2022-09-05T00:00,7.05,30.63,0.11,<0.05,4.69,1.01,447.0,2.91,1.83,0.91,2.28,7.94,17.4,21.7,14.6,53.7,17.2,21.2,38.4,92.1,100.04,0.06,1.10773,0.43202307599999995,0.245511592,0.18651148399999995,0.45118402745916086,17.62758,0.10338541666666667,Non-saline
B07_2022_047,53943,37.0159,42.54859,0.0,0.1,0.05,2022-08-28T00:00,7.2,38.01,0.07,<0.05,5.54,0.98,265.0,5.17,6.95,3.62,5.07,20.82,5.3,16.4,25.9,47.6,11.8,19.4,31.2,78.8,99.62,0.11,1.14874,0.37879664799999996,0.208694416,0.17010223199999996,0.7161330491126318,16.02684,0.3336538461538462,Non-saline
B07_2022_050,53954,36.96272,42.80097,0.0,0.1,0.05,2022-09-18T00:00,7.19,49.97,0.26,<0.05,9.29,3.29,426.0,14.4,7.55,6.03,8.64,36.61,25.2,17.2,8.1,50.5,6.1,6.6,12.7,63.2,99.81,0.25,1.0,0.399691604,0.17911696800000002,0.22057463599999996,1.45503592629398,28.94012,1.4413385826771654,Non-saline
B07_2022_050,53955,36.96272,42.80097,0.1,0.3,0.2,2022-09-18T00:00,7.48,53.05,0.12,<0.05,8.43,2.07,291.0,8.49,8.6,5.57,8.09,30.75,8.8,24.9,15.6,49.3,6.5,13.0,19.5,68.8,99.55,0.17,1.0,0.37300353199999997,0.179885144,0.19311838799999997,1.1195247948335025,21.870060000000002,0.7884615384615384,Non-saline
B07_2022_051,53959,36.93003,42.65,0.0,0.1,0.05,2022-09-21T00:00,7.25,9.92,0.15,<0.05,2.99,1.8,246.0,6.86,22.28,14.05,16.6,59.79,9.4,8.6,6.8,24.8,5.9,9.1,15.0,39.8,99.59,0.23,1.0076,0.28480567999999995,0.15003056,0.13477511999999994,2.6687857904009844,18.0894,1.9929999999999999,Non-saline
B07_2022_051,53961,36.93003,42.65,0.3,0.5,0.4,2022-09-21T00:00,7.31,31.72,0.04,<0.05,4.08,0.27,165.6,1.05,8.12,12.17,23.89,45.24,9.8,11.5,11.0,32.3,8.6,14.0,22.6,54.9,100.14,0.1,1.37503,0.262397852,0.146354584,0.11604326799999998,1.5961500528233934,8.445260000000001,1.0008849557522124,Non-saline
B07_2022_055,53974,36.97075,42.48229,0.0,0.1,0.05,2022-09-12T00:00,6.93,13.71,0.15,<0.05,3.02,1.37,289.0,6.71,5.0,2.06,3.37,17.13,7.3,13.8,12.7,33.8,11.8,37.0,48.8,82.6,99.73,0.12,1.0,0.46964021199999995,0.25,0.21964021199999995,0.49896917469650204,22.48686,0.17551229508196722,Non-saline
B07_2022_055,53977,36.97075,42.48229,0.5,0.7,0.6,2022-09-12T00:00,6.96,18.27,0.09,<0.05,3.11,0.91,237.0,3.85,4.87,2.06,3.08,13.87,10.8,22.3,7.7,40.8,15.5,29.8,45.3,86.1,99.97,0.09,1.10229,0.43984831599999996,0.25,0.18984831599999996,0.48012433275499417,18.203580000000002,0.1530905077262693,Non-saline
B07_2022_061,54004,36.94748,42.73796,0.0,0.1,0.05,2022-08-21T00:00,7.15,32.18,0.04,<0.05,4.85,0.99,249.0,2.66,2.52,0.97,1.54,7.68,4.7,15.4,24.5,44.6,15.8,32.3,48.1,92.7,100.38,0.05,1.06837,0.466432124,0.25,0.216432124,0.3882877744200231,20.426920000000003,0.1,Non-saline
B07_2022_061,54005,36.94748,42.73796,0.1,0.3,0.2,2022-08-21T00:00,7.27,36.78,<0.03,<0.05,4.84,0.42,295.0,2.41,2.11,0.95,1.42,6.89,5.0,17.2,31.8,54.0,18.7,20.5,39.2,93.2,100.09,0.05,1.25922,0.406589992,0.23344046400000001,0.173149528,0.43314541003703544,14.11676,0.1,Non-saline
B07_2022_061,54007,36.94748,42.73796,0.5,0.7,0.6,2022-08-21T00:00,7.28,37.07,0.04,<0.05,5.07,0.62,,4.31,2.24,0.79,1.28,8.62,4.7,16.4,24.6,45.7,14.4,31.4,45.8,91.5,100.12,0.07,1.17626,0.437199512,0.25,0.187199512,0.4122434050163191,17.542360000000002,0.1,
B07_2022_062,54009,37.06686,42.46556,0.0,0.1,0.05,2022-08-29T00:00,7.13,28.89,0.06,<0.05,4.2,0.73,175.4,1.34,4.93,11.9,28.99,47.16,24.0,9.9,5.3,39.2,6.2,7.5,13.7,52.9,100.06,0.1,1.2949899999999999,0.250229748,0.114384616,0.13584513199999998,1.9189944408222708,9.26644,1.7211678832116788,Non-saline
B07_2022_072,54052,36.89846,42.65755,0.3,0.5,0.4,2022-09-11T00:00,7.4,57.1,0.04,<0.05,7.6,0.75,171.1,2.34,2.68,2.0,4.34,11.36,3.9,19.2,39.0,62.1,9.8,16.4,26.2,88.3,99.66,0.06,1.2322300000000002,0.3678607,0.17742940000000001,0.19043129999999997,0.593572424267932,13.416500000000001,0.216793893129771,Non-saline
B07_2022_075,54066,36.86134,42.6802,0.5,0.7,0.6,2022-09-20T00:00,7.31,28.89,0.03,<0.05,4.09,0.62,,0.34,0.85,1.25,12.52,14.95,13.8,19.0,15.1,47.9,10.9,25.6,36.5,84.4,99.35,0.03,1.2190400000000001,0.391059512,0.22538830399999998,0.16567120800000001,0.5631624849949088,15.06646,0.2047945205479452,
B07_2022_080,54080,36.98183,42.43077,0.1,0.3,0.2,2022-09-17T00:00,7.2,16.0,0.08,<0.05,2.54,0.62,194.9,0.09,0.74,4.41,30.81,36.04,30.4,12.4,6.3,49.1,5.4,9.7,15.1,64.2,100.24,0.05,1.31748,0.271839512,0.118388304,0.153451208,1.3825273025028009,8.88696,1.1933774834437085,Non-saline
B07_2022_083,54089,36.95468,42.47737,0.0,0.1,0.05,2022-09-12T00:00,7.07,3.61,0.26,<0.05,2.73,2.29,325.0,5.75,13.21,7.65,10.15,36.76,11.7,14.5,11.5,37.7,11.1,14.5,25.6,63.3,100.06,0.16,1.0,0.39428400399999997,0.216377768,0.17790623599999997,1.2081301331394596,24.345020000000005,0.7179687499999999,Non-saline
B07_2022_086,54098,36.83946,42.63359,0.0,0.1,0.05,2022-09-10T00:00,7.17,27.39,0.11,<0.05,4.6,1.31,287.0,1.97,1.87,0.92,3.36,8.11,8.9,19.3,26.0,54.2,16.8,20.9,37.7,91.9,100.01,0.05,1.0320500000000001,0.44462735600000003,0.25,0.19462735600000003,0.45800868839487213,20.228880000000004,0.10755968169761272,Non-saline
B07_2022_089,54108,36.94444,42.59552,0.0,0.1,0.05,2022-09-25T00:00,7.2,24.07,0.07,<0.05,3.77,0.88,233.0,1.14,1.24,1.87,11.53,15.78,13.9,17.9,18.2,50.0,14.8,19.1,33.9,83.9,99.68,0.04,1.16262,0.393441888,0.219470496,0.17397139200000003,0.5987337183673559,15.98004,0.2327433628318584,Non-saline
B07_2022_092,54118,37.00565,42.58502,0.0,0.1,0.05,2022-08-27T00:00,7.05,29.97,0.08,<0.05,4.25,0.65,291.0,0.66,1.28,0.72,1.48,4.14,11.1,17.1,23.4,51.6,19.2,24.9,44.1,95.7,99.84,0.02,1.17619,0.44158594,0.25,0.19158594,0.3734854750230324,16.2882,0.1,Non-saline
B07_2022_097,54135,36.82644,42.70973,0.0,0.1,0.05,2022-09-20T00:00,7.26,36.5,0.05,<0.05,4.72,0.34,274.0,0.75,1.31,1.18,4.38,7.62,6.3,15.5,26.9,48.7,17.4,26.3,43.7,92.4,100.03,0.03,1.25956,0.41720618400000004,0.25,0.16720618400000004,0.41361255837573685,14.69892,0.1,Non-saline
B07_2022_101,54150,36.85442,42.62112,0.0,0.1,0.05,2022-09-11T00:00,7.15,27.1,0.13,<0.05,4.33,1.08,289.0,8.1,4.85,3.77,14.93,31.65,17.9,15.3,12.0,45.2,9.9,13.8,23.7,68.9,100.55,0.16,1.15694,0.33529140799999996,0.173918336,0.16137307199999995,1.0788317434713084,14.65914,0.6677215189873418,Non-saline
B07_2022_104,54156,36.96909,42.71892,0.1,0.3,0.2,2022-08-21T00:00,7.03,28.87,0.07,<0.05,3.96,0.49,334.0,1.74,1.65,0.6,1.17,5.15,12.9,17.6,26.0,56.5,19.9,18.3,38.2,94.7,99.85,0.04,1.24541,0.410078324,0.23034720800000003,0.17973111599999997,0.418941821492399,13.466020000000002,0.1,Non-saline
B07_2023_002,55794,37.19502,42.66293,0.0,0.1,0.05,2023-10-03T00:00,7.0,12.77,0.12,<0.05,2.51,0.98,374.0,2.93,3.36,1.18,1.54,9.0,3.3,12.8,17.5,33.6,16.6,40.8,57.4,91.0,100.0,0.06,1.02822,0.49675664799999997,0.25,0.24675664799999997,0.35113467330143555,21.952840000000002,0.1,Non-saline
B07_2023_002,55796,37.19502,42.66293,0.3,0.5,0.4,2023-10-03T00:00,7.1,11.33,0.07,<0.05,1.89,0.54,259.0,4.51,3.56,2.25,2.05,12.4,1.2,16.3,9.8,27.3,12.7,47.1,59.8,87.1,99.5,0.083,1.1329,0.475915704,0.25,0.225915704,0.37231772874658486,19.737319999999997,0.1036789297658863,Non-saline
B07_2023_005,55804,37.07966,42.97761,0.0,0.1,0.05,2023-09-28T00:00,7.6,34.56,0.04,<0.05,5.03,0.89,129.9,2.1,24.35,14.9,17.18,58.5,12.9,12.3,7.4,32.6,5.9,2.6,8.5,41.1,99.6,0.1765,1.2768300000000001,0.217077364,0.09274288800000001,0.12433447599999999,2.8342210328132165,9.53962,3.4411764705882355,Non-saline
B07_2023_005,55808,37.07966,42.97761,0.7,1.0,0.85,2023-09-28T00:00,7.8,35.33,<0.03,<0.05,4.88,0.64,144.1,0.13,19.4,16.84,8.92,45.3,6.1,15.2,14.4,35.7,7.9,10.8,18.7,54.4,99.7,0.1232,1.29566,0.26731046399999997,0.136933088,0.13037737599999996,1.6933772334569068,11.136120000000002,1.2112299465240641,Non-saline
B07_2023_007,55814,37.14982,42.78035,0.0,0.1,0.05,2023-10-03T00:00,7.4,27.47,0.18,<0.05,5.19,1.9,236.0,4.73,24.17,13.52,12.49,54.9,11.2,11.8,8.0,31.0,7.4,6.7,14.1,45.1,100.0,0.2028,1.0,0.29650044,0.14825448,0.14824595999999998,2.362619132824378,18.8292,1.946808510638298,Non-saline
B07_2023_008,55817,37.05647,42.91215,0.3,0.5,0.4,2023-09-28T00:00,7.4,33.21,0.11,<0.05,5.91,1.93,234.0,3.28,7.25,5.71,5.43,21.7,6.0,16.9,16.9,39.8,9.6,28.6,38.2,78.0,99.7,0.0932,1.0,0.45120686800000004,0.25,0.20120686800000004,0.6618410748387571,26.050940000000004,0.2840314136125654,Non-saline
B07_2023_008,55818,37.05647,42.91215,0.5,0.7,0.6,2023-09-28T00:00,7.5,43.53,0.08,<0.05,6.82,1.59,224.0,4.71,21.36,8.35,9.0,43.4,7.9,12.3,10.6,30.8,7.1,18.6,25.7,56.5,99.9,0.1781,1.01361,0.345280684,0.197810328,0.147470356,1.4492847307242276,20.04522,0.8443579766536965,Non-saline
B07_2023_010,55820,37.07584,42.95384,0.0,0.1,0.05,2023-09-28T00:00,7.1,16.13,0.37,<0.05,5.34,3.4,340.0,7.39,6.55,3.25,3.72,20.9,5.1,15.6,16.3,37.0,17.9,23.5,41.4,78.4,99.3,0.1384,1.0,0.5,0.25,0.25,0.6175522617287322,37.1412,0.2524154589371981,Non-saline
B07_2023_010,55821,37.07584,42.95384,0.1,0.3,0.2,2023-09-28T00:00,7.2,15.85,0.15,<0.05,3.13,1.22,196.2,6.26,4.26,1.46,2.1,14.1,3.7,11.9,14.3,29.9,12.9,42.9,55.8,85.7,99.8,0.1083,1.0,0.493168072,0.25,0.243168072,0.4139174316769998,24.53076,0.12634408602150538,Non-saline
B07_2023_012,55833,37.19884,42.73602,0.5,0.7,0.6,2023-10-03T00:00,7.2,22.26,0.08,<0.05,3.0,0.33,344.0,1.36,2.95,1.28,1.7,7.3,2.9,10.6,20.5,34.0,14.7,43.7,58.4,92.4,99.7,0.0377,1.1945700000000001,0.47025070799999996,0.25,0.22025070799999996,0.3301214291851708,18.32814,0.1,Non-saline
B07_2023_012,55834,37.19884,42.73602,0.7,1.0,0.85,2023-10-03T00:00,7.2,20.45,0.07,<0.05,3.11,0.65,257.0,2.33,3.02,1.13,1.54,8.0,2.4,10.0,21.2,33.6,14.2,44.1,58.3,91.9,99.9,0.05,1.1108700000000002,0.48498594,0.25,0.23498594,0.33706504488143446,20.783700000000003,0.1,Non-saline
B07_2023_013,55835,37.08964,42.8508,0.0,0.1,0.05,2023-10-03T00:00,7.2,19.74,0.40,0.07,5.7,3.34,370.0,13.09,8.56,3.08,4.85,29.6,5.9,12.1,14.2,32.2,14.5,23.9,38.4,70.6,100.2,0.222,1.0,0.5,0.25,0.25,0.820868738621102,36.27972,0.3854166666666667,Non-saline
B07_2023_014,55840,37.09287,42.93916,0.3,0.5,0.4,2023-09-28T00:00,7.6,39.18,0.03,<0.05,4.98,0.28,198.7,11.51,25.39,5.99,6.68,49.6,9.8,12.0,9.1,30.9,6.5,13.3,19.8,50.7,100.3,0.2789,1.38528,0.244113328,0.132626976,0.11148635199999998,1.8763494169302304,8.31024,1.2525252525252526,Non-saline
B07_2023_014,55841,37.09287,42.93916,0.5,0.7,0.6,2023-09-28T00:00,7.8,36.97,<0.03,<0.05,4.63,0.2,173.3,18.44,36.79,4.56,3.37,63.2,4.5,8.0,6.9,19.4,4.9,11.9,16.8,36.2,99.4,0.4091,1.42012,0.20198951999999998,0.11544784,0.08654167999999998,2.855707463720819,7.095600000000001,1.880952380952381,Non-saline
