Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm],Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr]
EHS_2017_B197,41612.0,-1.0801868804143138,0.08773941307544224,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778905,-0.03587593478276816,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.24589929895638185,-0.22652836208151453,-0.2978463034608612,-0.20561751325937436,-0.3514450634804172,0.23799397268794556,0.8309351021588871,0.5986862253848051,0.92519698208623,0.27363310005715646,-0.423076586037464,-0.2986187865607601,0.33371971808945006,-0.8991475765730682,0.06010466740985145,-0.6863846908189277,0.09352984621162218,0.15421288453337473,0.009557165629197674,-0.30989295578243475,0.1818798612801745,-0.4317639733682626
EHS_2017_B199,41614.0,-0.927378839156153,0.06104154169394167,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.23081115831877416,1.468351349206712,-1.3801252462350537,3.469446951953614e-18,0.41879341047351026,-1.5469859178809549,-0.25407701236278346,-0.32000871783249396,-0.4008909687693968,-0.3624325380636329,-0.31514333046232657,-0.19461576091723723,-0.17583800446037165,0.08089624385416173,0.10097010507895092,0.14119222702073286,-0.17875581083609182,0.06276452302386745,0.32360392450638603,0.10291215275766251,-0.20326744083237677,2.1342291632876935,-0.8408518804335433,-0.23391213987171752,-1.4096705184583496,-0.17923179095427758,-1.5407317732992019,-0.2997410150336397
EHS_2017_B199,41615.0,-0.9245458810878997,0.06110896056108808,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.3087473935952355,1.1713101971385806,-0.3521698904186001,3.469446951953614e-18,0.5633579791153877,-0.8433187696013469,-0.5689189785092453,-0.6437699499456422,-0.7309832017069092,-0.7086885324300828,-0.7729485190793592,-0.7960488051976137,-0.17583800446037165,0.8612276244707654,0.10596541948505536,1.4054005605502293,0.4599072681990748,0.7539539598022331,0.7923023605217124,0.7709519723114197,-0.6288291524554124,0.6177390896412739,0.3834501620945065,0.770127325366897,-0.16112915354637972,-0.7772492342827928,-0.27612974259695783,-0.7430799385118394
EHS_2017_B201,41616.0,-1.3021019290953781,-0.36841664189237466,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.6085021446585838,0.1270409566499256,-0.03587593478276816,3.469446951953614e-18,-0.19750817163133755,-0.5512305193720756,-0.7038512497148719,-0.6232498718539637,-0.5982477006315073,-0.5276671615150998,-0.7050508332492266,-0.5006080115160253,-0.136356706161577,0.9049845243184255,0.2857967381048258,0.6829957985333742,0.43418929186208816,0.5223879556023743,0.6911444246910663,-0.5651276667961421,-0.469615505099941,0.27508947778433335,0.3484111951520751,0.770127325366897,-0.2322986332312496,-0.7003361511890617,-0.27222462999370395,-0.7430799385118394
EHS_2017_B201,41618.0,-1.3021019290953781,-0.3705066267732428,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.33872286870157897,0.43949946955204316,-0.19402291260068424,3.469446951953614e-18,-0.09859557203426335,-0.8698722468949169,-0.4339867073036188,-0.5160894640418654,-0.5074286735799166,-0.3571702889091275,-0.5578271382314144,-0.37399052850963027,-0.017912811265194013,1.0216695905788518,0.5255718295978523,0.8033965922028501,0.048419646807289676,0.2417018899055761,0.5832426264717108,1.1049718820883458,0.6746395866417177,0.929559870440793,-0.07803997699592488,0.46952942699544326,-0.7277822765305492,-0.567886331638963,-0.7306338111707398,-0.6468899660505582
EHS_2017_B209,41625.0,-0.9693581268950767,-0.4332061731995268,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.3627032487866355,-0.07955167852548727,0.28041802085306355,3.469446951953614e-18,-0.0757695875118614,-0.020160973500673314,0.30200749927252607,0.7333552908736641,1.2146398008983224,1.316224942223564,0.7981098154257884,0.3435085418599414,0.061049785332395336,0.0006752608001177115,0.255824851668197,-0.03940896348348093,-1.2203338524840475,-1.0424368606572754,-0.8329684751573354,-1.5671873961268254,1.583794152381839,0.2540552232607812,-1.0805245331771838,-1.2004734477623127,-0.7044984467695191,0.9453522003329055,-0.6855856678472138,0.9150993473461776
EHS_2017_B210,41630.0,-1.8250831579407152,0.3080642708399802,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.41665910397804035,-0.3077286188684811,1.2292998877605592,3.469446951953614e-18,-0.045334941481992366,0.39141792454966345,0.428762057071751,0.8678758028080003,1.15525812936459,1.2888612466201363,0.838445074334778,-1.4713420478983872,-2.6434191481350258,-2.5955674634943775,-2.9961248267059766,2.726799271072727,-1.657539450212819,2.171418591571064,-0.7452982641041089,2.6289377204453364,0.4990581811468988,-1.1468100713249145,1.2814144111092378,0.770127325366897,1.6627730317832539,-0.35180559264585737,1.9209645087784826,-0.3821070617877159
EHS_2017_B212,41631.0,-1.6785419633183989,0.3868095076420327,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.392678723892979,0.29252062960137615,2.020034776850139,3.469446951953614e-18,1.0503123155932916,1.3738965844117574,-0.11096702775075526,-0.2880885963565498,-0.4794843575640426,-0.3740094862035445,-0.4374936158195951,-0.20516721783443698,0.7519725055612985,1.1529402901218322,1.0550751566449525,0.5385148461300033,-0.47451253871143695,-0.2635330283486603,0.45510924108622525,0.7709519723114197,0.14640739214459292,-1.1468100713249145,0.7106935854770932,0.6957738126940431,0.595246407704863,-0.3698975117261489,1.136285352164625,-0.49315695142495924
EHS_2017_B217,41634.0,-1.230505352460968,-0.6651944949767057,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.2847670135101742,0.22571206598743676,1.2292998877605592,3.469446951953614e-18,0.6166186096676587,0.7233363907192898,-0.05372303390594395,0.06987276590939571,-0.077784814835853,0.3016633052349384,-0.0287629922084998,0.40681728336313905,0.6730099089637092,0.43824425927671806,0.7953188075275076,0.466274369928318,-0.8002735723132668,-0.5512362456878785,0.0032704610426722647,-1.2331674863499469,0.246101918993346,-1.1468100713249145,-0.0036078676609120667,-0.06738659370340047,0.08553680977784346,-0.017243694681914053,0.3211275136077408,-0.1335714183317012
EHS_2017_B217,41635.0,-1.229818574747413,-0.6642506308369434,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,-0.33872286870157897,0.027342023256815923,1.0711529099426436,3.469446951953614e-18,0.3883587644436412,0.6303992201917944,-0.0291898936867391,-0.10112788485459098,-0.21750639491522328,0.017501850891651266,-0.19212079078990793,0.38571436952874,0.6532692598143123,0.729956924927785,1.015112641396115,0.15323230638768062,-0.6631110318493385,-0.5301847907606189,0.17186702076041585,-0.8991475765730682,1.2519750555568845,-1.050148840613633,0.028311782357653373,-0.07655753968924761,0.1616802851384525,-0.13651250509281285,0.23885152554450578,-0.2555198813742073
