SampleID,Month,soil_Event,soil_Latitude,soil_Longitude,soil_Depth top [m],soil_Depth bot [m],soil_Depth sed [m],soil_Date/Time,soil_pH,soil_CaCO3 [%],soil_TN [%],soil_TS [%],soil_TC [%],soil_TOC [%],soil_2000-630 µm [%],soil_630-200 µm [%],soil_200-125 µm [%],soil_125-63 µm [%],soil_2000-63 µm [%],soil_63-20 µm gU [%],soil_20-6.3 µm mU [%],soil_6.3-2 µm fU [%],soil_63-2 µm [%],soil_2-0.63 µm [%],soil_0.63-0.063 µm [%],soil_2-0.063 µm [%],soil_63-0.063 µm [%],soil_<2000 µm [%],soil_Part size mean [mm],soil_Bulk Density [g/cm³],soil_Field Capacity [m³/m³],soil_Wilting Point [m³/m³],soil_Available Water Capacity [m³/m³],soil_Hydraulic Conductivity [cm/hr],soil_CEC [cmol/kg],soil_Infiltration Rate [cm/hr],climate_tempC,climate_humidity,climate_precip,climate_windspeed_ms,climate_ET0,climate_ETc,climate_NIR,climate_water_deficit,climate_vpd,climate_actual_vapor_pressure,climate_aridity_index,moisture_stress,infiltration_efficiency,evaporation_susceptibility,drainage_factor,irrigation_efficiency,root_zone_water_capacity,days_to_depletion,irrigation_interval,irrigation_amount
41612.0,1.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,7.9,70.76645161290323,18.346,5.69730849032258,2.4541801564957244,2.5768891643205105,2.4755083317860227,2.475451764900861,0.4313718096084538,0.7388546879444875,0.5495904810743258,0.8259102764883518,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,1.1682718895638153,0.5841359447819077,1.43357484437964
41612.0,2.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,9.688731284475965,66.55390070921986,13.356,5.505884141843971,3.0027078176546818,2.702437035889214,2.6090984891290847,2.609042476419865,0.5319298777608077,0.7844625448489861,0.05558968890801494,0.8925433879068905,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.954854705443408,0.477427352721704,1.43357484437964
41612.0,3.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,13.327956989247312,63.97225806451613,21.327,6.536878451612903,3.8998616700655835,3.509875503059025,3.3724338887209604,3.3722819546719283,0.6887305172895731,0.9448025077998297,0.05321502320083642,0.8700785974614519,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.7351926635672345,0.3675963317836172,1.43357484437964
41612.0,4.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,18.606666666666666,53.65866666666667,11.793,5.979010986666667,6.210807785217248,5.589727006695523,5.5111967631435235,5.511107006695523,1.2933642521125928,1.0478679559179878,0.024392006165907077,0.9486508386910709,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.4616387735559248,0.2308193867779624,1.43357484437964
41612.0,5.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,25.612903225806452,35.321290322580644,3.168,6.499096361290323,9.996115276764721,0.0,0.0,0.0,2.5340182187204845,1.0061386160290118,0.003939569221745721,0.9834674070563755,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.28682639299126245,0.14341319649563122,1.43357484437964
41612.0,6.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,32.08148148148148,19.386666666666667,0.139,6.23352576,13.439609120717247,0.0,0.0,0.0,4.167354344013827,0.8467368909355778,6.462498158658267e-05,0.9902151962126768,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.21333579444208312,0.10666789722104156,1.43357484437964
41612.0,7.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,35.364874551971326,16.09935483870968,0.0,6.647052180645162,14.765705556949076,0.0,0.0,0.0,5.12412331345433,0.8594749771145167,0.0,0.9904428343708024,1.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.19417627404942625,0.09708813702471313,1.43357484437964
41612.0,8.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,35.20537634408602,17.000645161290322,0.04,6.50198049032258,14.084075496620455,0.0,0.0,0.0,5.087484218814321,0.8984125982878876,1.855231022807484e-05,0.9903803245077473,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.2035738653522034,0.1017869326761017,1.43357484437964
41612.0,9.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,30.415555555555553,19.680666666666667,0.036000000000000004,5.439284693333334,11.168533682962572,0.0,0.0,0.0,3.922750274295728,0.795732701205465,2.1419654296439168e-05,0.9903718891339441,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.25671675173734515,0.12835837586867258,1.43357484437964
41612.0,10.0,EHS_2017_B197,-1.0801868804143138,0.0877394130754422,-0.6231106687485659,-0.6466839003037039,-0.6368034949959216,2017-09-01T00:00,0.5785266695522404,1.0500269585778903,-0.0358759347827681,3.469446951953614e-18,1.1263989306679645,0.3250342313157381,-0.2458992989563818,-0.2265283620815145,-0.2978463034608612,-0.2056175132593743,-0.3514450634804172,0.2379939726879455,0.8309351021588871,0.5986862253848051,0.92519698208623,0.2736331000571564,-0.423076586037464,-0.2986187865607601,0.33371971808945,-0.8991475765730682,0.0601046674098514,-0.6863846908189277,0.0935298462116221,0.1542128845333747,0.0095571656291976,-0.3098929557824347,0.1818798612801745,-0.4317639733682626,23.9247311827957,29.308387096774194,1.724,5.215082116129032,8.461216532148603,4.230608266074301,4.217358635596882,4.217350201558172,2.4862124035833286,0.8030880908868794,0.003250689282746417,0.9859582587388457,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.3388578554709566,0.1694289277354783,1.43357484437964
