Month,soil_2000-63 µm [%],soil_63-2 µm [%],soil_2-0.063 µm [%],soil_TOC [%],soil_pH,soil_CEC [cmol/kg],soil_Available Water Capacity [m³/m³],soil_Hydraulic Conductivity [cm/hr],soil_Infiltration Rate [cm/hr],climate_tempC,climate_humidity,climate_precip,climate_ET0,climate_vpd,climate_NIR,climate_water_deficit,moisture_stress,infiltration_efficiency,evaporation_susceptibility,drainage_factor,irrigation_efficiency,root_zone_water_capacity,days_to_depletion,irrigation_interval,irrigation_amount
1.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,7.9,70.76645161290323,18.346,2.4541801564957244,0.4313718096084538,2.4755083317860227,2.475451764900861,0.8259102764883518,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,1.1682718895638153,0.5841359447819077,1.43357484437964
2.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,9.688731284475965,66.55390070921986,13.356,3.0027078176546818,0.5319298777608077,2.6090984891290847,2.609042476419865,0.8925433879068905,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.954854705443408,0.477427352721704,1.43357484437964
3.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,13.327956989247312,63.97225806451613,21.327,3.8998616700655835,0.6887305172895731,3.3724338887209604,3.3722819546719283,0.8700785974614519,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.7351926635672345,0.3675963317836172,1.43357484437964
4.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,18.606666666666666,53.65866666666667,11.793,6.210807785217248,1.2933642521125928,5.5111967631435235,5.511107006695523,0.9486508386910709,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.4616387735559248,0.2308193867779624,1.43357484437964
5.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,25.612903225806452,35.321290322580644,3.168,9.996115276764721,2.5340182187204845,0.0,0.0,0.9834674070563755,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.28682639299126245,0.14341319649563122,1.43357484437964
6.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,32.08148148148148,19.386666666666667,0.139,13.439609120717247,4.167354344013827,0.0,0.0,0.9902151962126768,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.21333579444208312,0.10666789722104156,1.43357484437964
7.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,35.364874551971326,16.09935483870968,0.0,14.765705556949076,5.12412331345433,0.0,0.0,0.9904428343708024,1.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.19417627404942625,0.09708813702471313,1.43357484437964
8.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,35.20537634408602,17.000645161290322,0.04,14.084075496620455,5.087484218814321,0.0,0.0,0.9903803245077473,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.2035738653522034,0.1017869326761017,1.43357484437964
9.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,30.415555555555553,19.680666666666667,0.036000000000000004,11.168533682962572,3.922750274295728,0.0,0.0,0.9903718891339441,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.25671675173734515,0.12835837586867258,1.43357484437964
10.0,-0.3514450634804172,0.92519698208623,-0.2986187865607601,0.3250342313157381,0.5785266695522404,0.1818798612801745,0.0095571656291976,-0.3098929557824347,-0.4317639733682626,23.9247311827957,29.308387096774194,1.724,8.461216532148603,2.4862124035833286,4.217358635596882,4.217350201558172,0.9859582587388457,0.0,0.0,0.0,0.0095571656291976,2.86714968875928,0.3388578554709566,0.1694289277354783,1.43357484437964
